org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/manifests/moco-config.pp,31,0,0,0,0,66,180,0,0,0,432,3,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/manifests/moco-nodes.pp,1,0,0,0,129,229,364,0,0,0,1157,34,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/manifests/qa-config.pp,2,0,0,0,0,0,18,0,0,0,65,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/manifests/qa-nodes.pp,1,0,0,0,16,0,4,0,0,0,83,8,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/manifests/relabs-config.pp,6,0,0,0,0,6,30,0,0,0,110,3,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/manifests/relabs-nodes.pp,1,0,0,0,6,0,0,0,0,0,75,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/manifests/seamonkey-config.pp,8,0,0,0,0,0,29,0,0,0,76,4,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/manifests/site.pp,3,0,1,0,2,16,8,0,2,2,80,9,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/manifests/stages.pp,2,0,0,0,3,3,3,0,0,0,30,7,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/acl/tests/init.pp,1,1,1,4,6,173,129,0,0,0,407,121,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/assert/tests/assert.pp,0,0,0,2,2,5,0,0,0,0,40,5,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/auditd/manifests/init.pp,1,1,4,6,13,36,15,0,5,5,84,3,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/aws_manager/manifests/cron.pp,1,1,0,19,23,138,45,0,0,0,183,3,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/aws_manager/manifests/crontask.pp,1,3,0,1,3,7,2,0,2,2,43,3,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/aws_manager/manifests/install.pp,1,1,4,3,18,24,2,1,1,1,82,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/aws_manager/manifests/secrets.pp,1,1,2,2,7,35,10,0,7,7,57,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/aws/manifests/instance_storage.pp,0,1,2,0,3,11,6,0,2,2,31,0,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/bacula_client/manifests/init.pp,1,1,6,6,15,40,10,0,5,5,75,3,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/bors/manifests/cron.pp,1,1,0,1,2,1,0,0,0,0,14,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/bors/manifests/install.pp,1,0,1,0,2,5,1,0,0,0,18,3,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/bors/manifests/instance.pp,1,0,1,0,1,26,0,0,0,0,53,3,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/buildbot_bridge/manifests/conf.pp,0,1,1,0,6,6,1,0,1,1,19,0,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/buildbot_bridge/manifests/init.pp,0,0,1,0,10,5,1,0,0,0,43,0,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/buildmaster/manifests/buildbot_master/mozilla.pp,2,2,9,1,13,49,15,1,7,7,122,16,1
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/buildmaster/manifests/db_maintenance.pp,1,1,3,0,6,18,6,0,2,2,50,8,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/buildmaster/manifests/queue.pp,1,1,5,4,13,41,10,1,3,3,104,6,1
