org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hadoop.pp,1,11,1,5,7,32,21,0,1,1,340,126,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hadoop/defaults.pp,0,0,0,0,0,0,18,0,0,0,80,3,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hadoop/historyserver.pp,1,0,3,2,5,12,7,0,1,1,38,6,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hadoop/jmxtrans/nodemanager.pp,1,0,0,0,0,18,69,0,0,0,171,21,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hadoop/jmxtrans/resourcemanager.pp,1,0,0,0,0,18,235,0,0,0,378,21,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hadoop/master.pp,0,1,0,0,3,4,4,0,1,1,27,9,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hadoop/mount.pp,1,0,1,3,6,18,9,1,0,0,70,10,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hadoop/namenode.pp,0,1,6,6,14,30,16,3,1,1,115,10,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hadoop/users.pp,0,1,0,0,1,9,7,1,1,1,34,17,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hive.pp,0,4,5,3,8,18,8,0,1,1,135,57,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hive/defaults.pp,0,0,0,0,0,2,17,0,0,0,50,3,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hive/metastore/mysql/grant.pp,0,0,0,0,1,7,1,1,0,0,38,12,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hive/metastore/mysql/jar.pp,0,1,1,2,3,4,3,0,0,0,22,8,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hive/server.pp,1,1,4,2,6,16,11,0,2,2,60,10,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hue.pp,2,6,8,6,20,47,24,2,2,2,285,80,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/hue/defaults.pp,0,0,0,0,0,0,13,0,0,0,72,2,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/impala/worker.pp,0,1,3,3,6,12,6,1,0,0,44,4,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/mahout.pp,0,0,0,1,1,1,1,0,0,0,9,4,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/oozie/server.pp,2,8,7,8,18,50,35,2,5,5,209,43,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/spark.pp,0,5,6,3,11,37,29,1,4,4,153,34,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh/manifests/sqoop.pp,0,1,1,3,4,5,4,0,0,0,30,8,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/cdh4/manifests/hadoop.pp,1,11,1,4,6,24,19,0,1,1,249,81,1
