,org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY,defect_status,bag_of_words
0,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/db/mysql.pp,0,0,125,0,0,0,27,16,32,0,0,0,0,"{'class': 8, 'openstack': 1, 'db': 36, 'mysql': 14, 'root': 3, 'password': 18, 'keyston': 9, 'glanc': 9, 'nova': 9, 'cinder': 11, 'quantum': 11, 'bind': 3, 'address': 3, 'account': 3, 'secur': 3, 'true': 4, 'user': 15, 'dbname': 15, 'allow': 11, 'host': 11, 'fals': 1, 'enabl': 4, 'server': 2, 'config': 1, 'hash': 1}"
1,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/zuul.pp,1,1,35,0,1,1,6,10,11,1,1,1,1,"{'class': 2, 'fuel': 2, 'project': 2, 'zuul': 13, 'jenkin': 3, 'job': 1, 'maintain': 1, 'url': 1, 'http': 1, 'server': 1, 'name': 3, 'updat': 7, 'cronjob': 4, 'layout': 8, 'param': 2, 'hiera': 1, 'ensur': 3, 'resourc': 2, 'zabbix': 2, 'agent': 2, 'packag': 1, 'config': 1, 'item': 1, 'file': 1, 'usr': 3, 'local': 2, 'bin': 3, 'appli': 3, 'sh': 3, 'mode': 1, 'content': 1, 'templat': 1, 'erb': 1, 'creat': 1, 'cron': 1, 'absent': 1, 'command': 1, 'flock': 1, 'xn': 1, 'var': 1, 'lock': 2, 'logger': 1, 'user': 1, 'minut': 1}"
2,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/ceph_client.pp,0,2,53,0,3,5,19,15,0,2,1,1,1,"{'notic': 1, 'modular': 1, 'standalon': 1, 'ceph': 32, 'client': 5, 'pp': 1, 'primari': 9, 'monitor': 4, 'node': 4, 'hiera': 1, 'mon': 6, 'key': 1, 'name': 1, 'includ': 2, 'ssh': 1, 'param': 3, 'exec': 5, 'path': 1, 'bin': 2, 'sbin': 2, 'usr': 2, 'cwd': 2, 'root': 10, 'packag': 2, 'radosgw': 1, 'ensur': 3, 'present': 1, 'deploy': 6, 'config': 3, 'pull': 3, 'command': 2, 'overwrit': 1, 'conf': 5, 'etc': 5, 'creat': 2, 'tri': 4, 'sleep': 2, 'file': 5, 'link': 1, 'target': 1, 'gatherkey': 3, 'remot': 2, 'bootstrap': 2, 'md': 1, 'keyr': 7, 'osd': 1, 'admin': 4, 'sourc': 1, 'mode': 1, 'owner': 1, 'group': 1, 'class': 1}"
3,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/volumes-and-ephemeral-compute.pp,0,0,1,0,0,1,0,0,0,0,0,0,1,"{'includ': 1, 'extern': 1, 'ceph': 1, 'volum': 1, 'ephemer': 1}"
4,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/zabbix/manifests/server.pp,0,2,278,6,4,11,54,30,96,4,1,1,0,"{'class': 6, 'zabbix': 97, 'server': 78, 'alert': 2, 'script': 4, 'path': 2, 'param': 67, 'allow': 5, 'root': 4, 'appli': 3, 'firewal': 9, 'rule': 3, 'cach': 12, 'size': 12, 'updat': 3, 'frequenc': 6, 'config': 6, 'templat': 4, 'db': 40, 'driver': 4, 'host': 7, 'name': 5, 'password': 15, 'port': 6, 'socket': 2, 'user': 9, 'debug': 2, 'level': 2, 'disabl': 2, 'housekeep': 6, 'enabl': 5, 'servic': 18, 'extern': 2, 'sourc': 5, 'fping': 4, 'locat': 6, 'frontend': 10, 'packag': 18, 'fqdn': 4, 'histori': 6, 'text': 2, 'instal': 12, 'ping': 4, 'handler': 4, 'listen': 4, 'ip': 4, 'log': 6, 'file': 9, 'slow': 2, 'queri': 2, 'max': 2, 'delet': 3, 'mysql': 15, 'node': 6, 'id': 2, 'event': 2, 'pid': 2, 'sender': 2, 'ssh': 2, 'key': 2, 'start': 26, 'syncer': 2, 'discover': 2, 'http': 2, 'poller': 12, 'ipmi': 2, 'java': 2, 'pinger': 2, 'unreach': 6, 'proxi': 2, 'snmp': 2, 'trapper': 6, 'timer': 2, 'vmware': 2, 'collector': 2, 'timeout': 4, 'tmp': 2, 'dir': 2, 'trend': 2, 'unavail': 2, 'delay': 4, 'period': 2, 'valu': 2, 'inherit': 1, 'localhost': 3, 'hash': 2, 'databas': 1, 'charset': 1, 'utf': 1, 'grant': 2, 'option': 1, 'privileg': 1, 'alter': 1, 'creat': 5, 'index': 1, 'select': 1, 'insert': 1, 'tabl': 1, 'exec': 4, 'import': 1, 'fixtur': 1, 'command': 4, 'zcat': 3, 'usr': 3, 'share': 3, 'schema': 1, 'sql': 3, 'gz': 3, 'h': 3, 'u': 3, 'p': 3, 'provid': 5, 'shell': 4, 'etc': 5, 'flag': 5, 'requir': 6, 'load': 2, 'imag': 2, 'initi': 1, 'data': 2, 'complet': 1, 'touch': 1, 'notifi': 2, 'default': 4, 'ensur': 6, 'present': 3, 'content': 2, 'erb': 2, 'includ': 1, 'pre': 2, 'resourc': 1, 'dport': 1, 'action': 1, 'accept': 1, 'owner': 1, 'group': 1, 'mode': 1, 'conf': 1, 'statu': 2, 'true': 3, 'run': 1, 'fals': 1, 'stop': 1, 'hasstatu': 1, 'hasrestart': 1, 'osfamili': 1, 'debian': 2}"
5,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/conf.pp,0,0,1,0,0,1,0,0,0,0,0,0,0,"{'includ': 1, 'extern': 1, 'ceph': 1, 'conf': 1}"
6,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/nova/controller.pp,2,0,221,0,0,0,57,27,28,0,0,0,1,"{'class': 13, 'openstack': 1, 'nova': 28, 'control': 1, 'public': 8, 'address': 9, 'db': 19, 'host': 19, 'rabbit': 19, 'password': 19, 'user': 14, 'network': 23, 'manag': 4, 'flatdhcpmanag': 1, 'config': 5, 'float': 6, 'rang': 6, 'fals': 10, 'fix': 3, 'admin': 5, 'intern': 3, 'auto': 3, 'assign': 3, 'ip': 4, 'creat': 6, 'true': 8, 'num': 3, 'multi': 3, 'interfac': 7, 'undef': 4, 'privat': 4, 'quantum': 29, 'dbname': 4, 'pass': 2, 'virtual': 6, 'type': 3, 'mysql': 4, 'glanc': 11, 'api': 8, 'server': 8, 'vnc': 2, 'enabl': 21, 'keyston': 5, 'verbos': 6, 'case': 1, 'real': 3, 'els': 5, 'sql': 6, 'connect': 11, 'rabbitmq': 1, 'userid': 2, 'imag': 3, 'servic': 9, 'auth': 4, 'realli': 3, 'valu': 2, 'overrid': 1, 'instal': 1, 'charset': 1, 'utf': 1, 'debug': 1, 'plugin': 1, 'ov': 2, 'tenant': 2, 'gre': 1, 'tunnel': 2, 'agent': 2, 'bridg': 1, 'uplink': 1, 'br': 1, 'local': 1, 'dhcp': 1, 'use': 1, 'namespac': 1, 'localhost': 1, 'strategi': 1, 'url': 2, 'http': 2, 'name': 1, 'v': 1, 'schedul': 1, 'objectstor': 1, 'cert': 1, 'consoleauth': 1, 'vncproxi': 1}"
7,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/puppet/manifests/agent.pp,0,0,57,1,1,2,21,1,6,0,0,0,1,"{'class': 1, 'puppet': 23, 'agent': 5, 'archiv': 8, 'file': 8, 'server': 8, 'param': 21, 'classfil': 4, 'config': 10, 'templat': 4, 'environ': 4, 'factpath': 4, 'graph': 4, 'localconfig': 4, 'logdir': 4, 'modulepath': 4, 'packag': 6, 'parser': 4, 'pluginsync': 4, 'report': 4, 'rundir': 4, 'fqdn': 1, 'servic': 4, 'ssldir': 4, 'vardir': 4, 'inherit': 1, 'ensur': 2, 'stop': 1, 'enabl': 1, 'fals': 1, 'requir': 1}"
8,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/volume/iscsi.pp,0,0,46,2,2,5,14,7,1,0,0,0,1,"{'class': 2, 'cinder': 9, 'volum': 7, 'iscsi': 10, 'ip': 3, 'address': 3, 'group': 3, 'helper': 6, 'tgtadm': 2, 'includ': 4, 'param': 3, 'config': 1, 'default': 4, 'valu': 3, 'case': 1, 'packag': 3, 'tgt': 5, 'name': 4, 'ensur': 2, 'present': 1, 'osfamili': 1, 'file': 1, 'line': 2, 'path': 1, 'etc': 2, 'target': 1, 'conf': 1, 'match': 1, 'requir': 2, 'notifi': 1, 'servic': 3, 'tgtd': 2, 'run': 1, 'enabl': 1, 'true': 1, 'fail': 1, 'unsupport': 1, 'red': 1, 'hat': 1}"
9,MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/zuul/manifests/init.pp,6,10,255,11,11,22,61,59,47,0,5,5,1,"{'class': 4, 'zuul': 42, 'gerrit': 6, 'user': 6, 'server': 5, 'known': 3, 'host': 4, 'dir': 11, 'usr': 4, 'share': 1, 'public': 1, 'html': 1, 'group': 12, 'www': 3, 'data': 2, 'owner': 10, 'export': 3, 'merger': 6, 'repo': 3, 'fals': 3, 'gearman': 6, 'logconfig': 6, 'etc': 5, 'log': 20, 'conf': 8, 'port': 2, 'baseurl': 1, 'undef': 9, 'git': 11, 'email': 1, 'name': 5, 'intern': 1, 'true': 1, 'job': 1, 'report': 2, 'layout': 2, 'yaml': 1, 'logdir': 5, 'var': 5, 'nginx': 16, 'access': 4, 'error': 4, 'format': 3, 'http': 7, 'packag': 16, 'servic': 2, 'fqdn': 7, 'local': 1, 'smtp': 4, 'default': 5, 'ssh': 12, 'privat': 3, 'key': 4, 'statedir': 10, 'lib': 4, 'statu': 7, 'url': 3, 'swift': 10, 'authurl': 1, 'auth': 1, 'version': 1, 'contain': 1, 'logserv': 2, 'prefix': 2, 'password': 1, 'region': 2, 'tenant': 2, 'pattern': 1, 'p': 2, 'ensur': 14, 'resourc': 7, 'present': 7, 'file': 17, 'content': 6, 'templat': 5, 'erb': 5, 'requir': 11, 'directori': 4, 'mode': 5, 'id': 2, 'rsa': 2, 'config': 2, 'creat': 1, 'defin': 1, 'vhost': 4, 'root': 1, 'locat': 6, 'json': 3, 'proxi': 2, 'fcgiwrap': 2, 'home': 2, 'osfamili': 1, 'debian': 1, 'core': 2, 'libexec': 1, 'suse': 1, 'path': 3, 'info': 2, 'fastcgi': 2, 'unix': 1, 'run': 1, 'socket': 1, 'param': 1, 'script': 1, 'filenam': 1, 'backend': 1, 'translat': 1, 'red': 1, 'hat': 1}"
