org,file_,commits,developers,fix_commits,age,avg_edit_time,defect_status
MIRANTIS,tests/init.pp,1,1,0,77,0,0
MIRANTIS,manifests/init.pp,1,1,0,77,0,1
MIRANTIS,manifests/config.pp,1,1,0,77,0,1
MIRANTIS,manifests/instance.pp,2,1,0,77,3,0
MIRANTIS,manifests/install.pp,1,1,0,77,0,0
MIRANTIS,deployment_scripts/puppet/manifests/agent.pp,2,1,0,34,11.5,1
MIRANTIS,deployment_scripts/puppet/modules/celebrer/manifests/db.pp,2,2,0,34,12,0
MIRANTIS,deployment_scripts/puppet/modules/celebrer/manifests/db/mysql.pp,1,1,0,34,0,0
MIRANTIS,deployment_scripts/puppet/manifests/server.pp,9,3,0,34,3.5555555555555554,0
MIRANTIS,deployment_scripts/puppet/modules/celebrer/manifests/keystone/auth.pp,2,1,0,33,0,0
MIRANTIS,deployment_scripts/puppet/modules/celebrer/manifests/client.pp,1,1,0,33,0,0
MIRANTIS,deployment_scripts/puppet/modules/celebrer/manifests/agent.pp,2,1,0,34,11,1
MIRANTIS,deployment_scripts/puppet/modules/celebrer/manifests/init.pp,2,2,0,34,12,1
MIRANTIS,deployment_scripts/puppet/modules/celebrer/manifests/api.pp,1,1,0,34,0,0
MIRANTIS,deployment_scripts/puppet/modules/celebrer/manifests/engine.pp,1,1,0,34,0,0
MIRANTIS,deployment_scripts/puppet/modules/celebrer/manifests/params.pp,4,2,0,34,8.5,1
MIRANTIS,deployment_scripts/puppet/manifests/keystone.pp,2,2,0,33,0,0
MIRANTIS,deployment_scripts/puppet/manifests/ha.pp,6,2,1,33,0,1
MIRANTIS,deployment_scripts/etckeeper_commit.pp,2,1,1,33,10,1
MIRANTIS,deployment_scripts/etckeeper_configure.pp,1,1,0,33,0,0
MIRANTIS,deployment_scripts/images.pp,3,1,0,31,49.333333333333336,0
MIRANTIS,deployment_scripts/puppet/modules/external_ceph/manifests/volumes_ephemeral.pp,3,1,0,26,1.3333333333333333,0
MIRANTIS,deployment_scripts/puppet/modules/external_ceph/manifests/conf.pp,2,1,0,26,0,0
MIRANTIS,deployment_scripts/radosgw-keystone.pp,3,1,0,31,49,0
MIRANTIS,deployment_scripts/volumes-and-ephemeral-compute.pp,5,1,1,32,30.2,1
MIRANTIS,deployment_scripts/conf.pp,7,1,0,32,22.285714285714285,0
MIRANTIS,deployment_scripts/modules/ceph_override/manifests/ceph/enable_rados.pp,1,1,0,27,0,0
MIRANTIS,deployment_scripts/openstack-haproxy-radosgw.pp,4,3,1,36,72,1
MIRANTIS,deployment_scripts/ssl_keys_saving.pp,1,1,0,24,0,0
MIRANTIS,deployment_scripts/hosts.pp,1,1,0,24,0,0
MIRANTIS,deployment_scripts/modules/ceph_override/manifests/init.pp,1,1,0,36,0,1
MIRANTIS,deployment_scripts/modules/ceph/manifests/conf.pp,1,1,0,36,0,0
MIRANTIS,deployment_scripts/mon.pp,5,2,1,36,58,1
MIRANTIS,deployment_scripts/modules/ceph/manifests/init.pp,1,1,0,36,0,1
MIRANTIS,deployment_scripts/ceph_client.pp,4,2,2,36,2.25,1
MIRANTIS,deployment_scripts/modules/ceph/examples/site.pp,1,1,0,36,0,1
MIRANTIS,deployment_scripts/modules/ceph/manifests/params.pp,1,1,0,36,0,1
MIRANTIS,deployment_scripts/modules/ceph/manifests/keystone.pp,1,1,0,36,0,0
MIRANTIS,deployment_scripts/modules/ceph_override/manifests/conf.pp,1,1,0,36,0,0
MIRANTIS,deployment_scripts/configure-ml2-controller.pp,9,2,7,31,20.666666666666668,1
MIRANTIS,tests/init.pp,1,1,0,39,0,0
MIRANTIS,manifests/server/config.pp,4,1,1,39,0.25,1
MIRANTIS,manifests/client.pp,1,1,0,39,0,0
MIRANTIS,manifests/init.pp,2,1,0,39,1,1
MIRANTIS,manifests/client/config.pp,3,1,0,39,0.3333333333333333,1
MIRANTIS,manifests/server.pp,1,1,0,39,0,0
MIRANTIS,manifests/server/install.pp,1,1,0,39,0,0
MIRANTIS,manifests/params.pp,2,1,0,39,1,1
MIRANTIS,manifests/server/service.pp,3,1,0,39,0.3333333333333333,1
