org,file_,commits,developers,fix_commits,age,avg_edit_time,defect_status
MOZILLA,modules/deploystudio/manifests/settings.pp,1,1,0,43,0,1
MOZILLA,modules/packages/manifests/mozilla/dumbwin32proc.pp,2,2,0,28,172,0
MOZILLA,modules/pushapk_scriptworker/manifests/settings.pp,13,3,2,21,35.46153846153846,1
MOZILLA,modules/smarthost/manifests/setup.pp,7,4,1,77,261.57142857142856,1
MOZILLA,modules/packages/manifests/p7zip.pp,3,3,0,66,502,0
MOZILLA,modules/toplevel/manifests/slave/releng.pp,32,6,0,53,36.34375,1
MOZILLA,modules/python35/manifests/init.pp,1,1,0,27,0,1
MOZILLA,modules/packages/manifests/libpng.pp,2,2,0,64,717,1
MOZILLA,modules/bors/manifests/init.pp,2,1,0,66,903.5,1
MOZILLA,modules/packages/manifests/editors.pp,10,6,1,77,183.1,0
MOZILLA,modules/buildduty_tools/manifests/init.pp,2,2,0,30,202.5,1
MOZILLA,modules/kernelmodule/manifests/rc_modules.pp,2,2,0,52,538.5,0
MOZILLA,modules/ccache/manifests/ccache_dir.pp,6,3,0,78,305.5,0
MOZILLA,modules/nrpe/manifests/check.pp,5,3,0,78,372.2,0
MOZILLA,modules/python/manifests/virtualenv/package.pp,12,5,0,80,188,1
MOZILLA,modules/users/manifests/homeclean.pp,4,3,1,65,367.25,0
MOZILLA,modules/disableservices/manifests/slave.pp,9,6,1,77,202.55555555555554,1
MOZILLA,modules/ganglia/manifests/init.pp,7,3,0,76,78,1
MOZILLA,manifests/seamonkey-config.pp,23,6,1,67,65.3913043478261,1
MOZILLA,modules/bors/manifests/cron.pp,3,2,0,66,137.33333333333334,1
MOZILLA,modules/hardware/manifests/init.pp,28,7,1,75,62.142857142857146,1
MOZILLA,modules/packages/manifests/patch.pp,6,6,1,73,284.3333333333333,0
MOZILLA,modules/supervisord/manifests/supervise.pp,8,4,0,76,225.625,0
MOZILLA,modules/collectd/manifests/profiles.pp,7,3,0,62,193.85714285714286,1
MOZILLA,modules/gaia_bumper/manifests/init.pp,1,1,0,65,0,1
MOZILLA,modules/shellprofile/manifests/settings.pp,1,1,0,58,0,1
MOZILLA,modules/puppetmaster/manifests/init.pp,12,3,0,75,128.33333333333334,1
MOZILLA,modules/toplevel/manifests/server/aws_manager.pp,3,3,0,56,156.33333333333334,0
MOZILLA,modules/mozpool/manifests/virtualenv.pp,25,2,0,72,6.76,1
MOZILLA,modules/buildbot_bridge2/manifests/conf.pp,3,3,0,18,116.33333333333333,0
MOZILLA,modules/toplevel/manifests/server/buildmaster/seamonkey.pp,2,2,1,44,146,1
