org,file_,commits,developers,fix_commits,age,avg_edit_time,defect_status
OPENSTACK,deployment_scripts/puppet/modules/lldp/manifests/init.pp,1,1,0,43,0,1
OPENSTACK,deployment_scripts/puppet/modules/apic/manifests/params.pp,4,2,1,43,7.75,1
OPENSTACK,deployment_scripts/puppet/modules/lldp/manifests/params.pp,1,1,0,43,0,1
OPENSTACK,deployment_scripts/puppet/modules/neutron/manifests/params.pp,1,1,0,43,0,1
OPENSTACK,deployment_scripts/puppet/modules/neutron/manifests/config.pp,1,1,0,43,0,1
OPENSTACK,deployment_scripts/puppet/modules/heat/manifests/params.pp,1,1,0,43,0,1
OPENSTACK,deployment_scripts/puppet/modules/horizon/manifests/params.pp,2,1,1,43,0,1
OPENSTACK,deployment_scripts/puppet/modules/gbp/manifests/config.pp,1,1,0,43,0,1
OPENSTACK,deployment_scripts/puppet/modules/apic/manifests/api.pp,1,1,0,43,0,1
OPENSTACK,deployment_scripts/puppet/modules/gbp/manifests/params.pp,3,2,1,43,10.666666666666666,1
OPENSTACK,deployment_scripts/puppet/modules/horizon/manifests/service.pp,1,1,0,43,0,0
OPENSTACK,deployment_scripts/puppet/modules/gbp/manifests/heat.pp,2,1,1,43,0,0
OPENSTACK,deployment_scripts/puppet/modules/neutron/manifests/config_apic.pp,2,1,1,43,0,1
OPENSTACK,deployment_scripts/puppet/modules/gbp/manifests/client.pp,1,1,0,43,0,1
OPENSTACK,deployment_scripts/puppet/modules/neutron/manifests/network.pp,1,1,0,43,0,1
OPENSTACK,deployment_scripts/puppet/modules/gbp/manifests/horizon.pp,2,1,1,43,0,1
OPENSTACK,manifests/wsgi/apache.pp,8,7,1,36,90,0
OPENSTACK,manifests/deps.pp,2,1,0,23,27.5,0
OPENSTACK,manifests/db/postgresql.pp,3,2,1,37,141,1
OPENSTACK,manifests/notifier.pp,3,2,0,36,130,0
OPENSTACK,manifests/client.pp,4,3,1,36,110.75,1
OPENSTACK,manifests/init.pp,29,12,5,37,37.10344827586207,1
OPENSTACK,manifests/config.pp,4,2,2,37,165.5,1
OPENSTACK,manifests/logging.pp,13,6,0,37,63.92307692307692,1
OPENSTACK,manifests/api.pp,18,11,4,36,56.611111111111114,1
OPENSTACK,manifests/db/mysql.pp,5,4,2,37,197.4,1
OPENSTACK,manifests/keystone/auth.pp,5,3,2,37,84.2,1
OPENSTACK,manifests/keystone/authtoken.pp,10,4,3,26,62.7,1
OPENSTACK,manifests/policy.pp,7,4,0,37,118.71428571428571,1
OPENSTACK,manifests/params.pp,18,9,1,37,50.833333333333336,1
OPENSTACK,manifests/evaluator.pp,5,3,1,36,123,0
OPENSTACK,tests/init.pp,2,2,1,37,516.5,0
OPENSTACK,examples/aodh.pp,7,2,1,36,43.142857142857146,0
OPENSTACK,manifests/db/sync.pp,5,3,3,37,178.2,1
OPENSTACK,manifests/db.pp,10,8,3,37,101.8,1
OPENSTACK,manifests/quota.pp,6,3,1,53,144.66666666666666,0
