org,file_,commits,developers,fix_commits,age,avg_edit_time,defect_status
WIKIMEDIA,modules/varnishkafka/manifests/init.pp,2,2,0,4,22,1
WIKIMEDIA,modules/requesttracker/manifests/apache.pp,10,6,1,49,124.2,1
WIKIMEDIA,modules/zotero/manifests/init.pp,8,4,1,44,97.75,1
WIKIMEDIA,modules/turnilo/manifests/init.pp,1,1,0,5,0,1
WIKIMEDIA,modules/bacula/manifests/init.pp,1,1,0,64,0,1
WIKIMEDIA,modules/mysql_multi_instance/manifests/config.pp,2,2,0,68,127,1
WIKIMEDIA,modules/base/manifests/init.pp,112,31,13,62,10.544642857142858,1
WIKIMEDIA,modules/keyholder/manifests/agent.pp,12,9,1,38,63.083333333333336,0
WIKIMEDIA,modules/mariadb/manifests/init.pp,3,2,0,56,361,1
WIKIMEDIA,modules/smokeping/manifests/init.pp,9,5,2,58,156.33333333333334,1
WIKIMEDIA,modules/profile/manifests/restbase.pp,9,6,0,17,47.888888888888886,0
WIKIMEDIA,modules/solr/manifests/init.pp,10,5,2,75,86.2,1
WIKIMEDIA,modules/spamassassin/manifests/init.pp,10,5,4,56,125,1
WIKIMEDIA,modules/git/manifests/clone.pp,25,12,7,62,60.6,1
WIKIMEDIA,modules/nrpe/manifests/init.pp,21,11,3,63,79.76190476190476,1
WIKIMEDIA,modules/shinken/manifests/init.pp,9,5,2,47,154.88888888888889,1
WIKIMEDIA,modules/profile/manifests/iegreview.pp,3,3,0,11,97,0
WIKIMEDIA,modules/wikimania_scholarships/manifests/init.pp,25,11,5,59,61.4,1
WIKIMEDIA,modules/sudo/manifests/user.pp,7,3,5,49,30.714285714285715,1
WIKIMEDIA,modules/ores/manifests/config.pp,3,2,0,35,58,1
WIKIMEDIA,modules/ganeti/manifests/init.pp,6,4,2,43,140,1
WIKIMEDIA,modules/alternative/manifests/install.pp,1,1,0,52,0,0
WIKIMEDIA,modules/mysql_multi_instance/manifests/init.pp,9,8,2,68,117.44444444444444,1
WIKIMEDIA,modules/phabricator/manifests/extension.pp,9,6,6,48,54.22222222222222,1
WIKIMEDIA,modules/letsencrypt/manifests/init.pp,5,3,2,30,0.2,1
WIKIMEDIA,modules/systemd/manifests/init.pp,2,1,1,15,116,1
WIKIMEDIA,modules/apache/manifests/mod/wsgi.pp,1,1,0,72,0,0
WIKIMEDIA,modules/mongodb/manifests/init.pp,5,4,1,73,303.4,1
WIKIMEDIA,modules/tilerator/manifests/init.pp,22,4,0,39,51.36363636363637,1
WIKIMEDIA,modules/rsync/manifests/repo.pp,1,1,0,75,0,1
WIKIMEDIA,modules/role/manifests/analytics_new/oozie/server.pp,1,1,0,33,0,1
WIKIMEDIA,modules/role/manifests/gerrit.pp,4,2,0,11,70,1
WIKIMEDIA,modules/puppet_statsd/manifests/init.pp,3,3,0,61,461.3333333333333,1
WIKIMEDIA,modules/noc/manifests/init.pp,22,6,1,49,65.81818181818181,1
WIKIMEDIA,modules/pybal/manifests/init.pp,8,5,1,64,119,1
WIKIMEDIA,modules/geoip/manifests/init.pp,3,3,1,64,438.3333333333333,1
WIKIMEDIA,modules/nginx/manifests/init.pp,5,5,0,66,35.8,1
WIKIMEDIA,modules/lshell/manifests/init.pp,3,3,0,30,95.66666666666667,1
WIKIMEDIA,modules/bastion/manifests/init.pp,1,1,0,61,0,1
WIKIMEDIA,modules/motd/manifests/defaults.pp,2,2,0,46,468.5,1
WIKIMEDIA,modules/bacula/spec/fixtures/manifests/site.pp,2,2,1,61,599,1
WIKIMEDIA,modules/planet/manifests/user.pp,5,3,1,67,376.4,1
WIKIMEDIA,modules/ocg/manifests/init.pp,54,20,9,58,22.074074074074073,1
WIKIMEDIA,modules/mysql_wmf/manifests/conf.pp,2,2,1,61,193.5,1
WIKIMEDIA,modules/labsvagrant/manifests/init.pp,2,1,0,62,0.5,1
WIKIMEDIA,modules/statsd_proxy/manifests/init.pp,4,3,1,27,102.5,1
WIKIMEDIA,modules/postgresql/manifests/server.pp,24,8,6,57,61.666666666666664,1
WIKIMEDIA,modules/mariadb/manifests/monitor_disk.pp,4,4,0,55,294.25,0
WIKIMEDIA,modules/jupyterhub/manifests/init.pp,10,6,1,24,50.3,1
WIKIMEDIA,modules/mysql/manifests/config.pp,6,5,2,68,184.16666666666666,1
WIKIMEDIA,modules/jenkins/manifests/init.pp,49,14,8,68,39.83673469387755,1
WIKIMEDIA,modules/druid/manifests/init.pp,18,4,1,29,39.94444444444444,1
WIKIMEDIA,modules/motd/manifests/script.pp,5,5,1,49,290.6,0
WIKIMEDIA,modules/phabricator/manifests/init.pp,93,12,15,53,15.688172043010752,1
WIKIMEDIA,manifests/wikidata.pp,18,4,3,72,4.611111111111111,0
WIKIMEDIA,modules/toolserver_legacy/manifests/init.pp,11,6,2,37,99,1
WIKIMEDIA,modules/lxc/manifests/init.pp,5,4,1,39,182.6,1
WIKIMEDIA,modules/iegreview/manifests/init.pp,13,7,0,49,94.23076923076923,1
WIKIMEDIA,modules/osm/manifests/init.pp,10,5,2,48,134,1
WIKIMEDIA,modules/profile/manifests/hive/server.pp,4,2,0,11,17.25,0
