org,file_,contributers,top,major,minor,defect_status
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/db/mysql.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/zuul.pp,3,0.6,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/ceph_client.pp,2,0.75,2,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/volumes-and-ephemeral-compute.pp,1,1.0,1,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/zabbix/manifests/server.pp,3,0.5,3,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/conf.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/nova/controller.pp,2,0.8888888888888888,2,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/puppet/manifests/agent.pp,3,0.5,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/volume/iscsi.pp,3,0.5714285714285714,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/zuul/manifests/init.pp,5,0.375,5,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/tpi/manifests/nfs_client.pp,2,0.5,2,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/images.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-etckeeper/deployment_scripts/etckeeper_configure.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-horizon/manifests/init.pp,8,0.2857142857142857,8,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/server/config.pp,2,0.5,2,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/manifests/agent.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/hostkeys.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/gerrit.pp,6,0.4444444444444444,6,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-kafka/manifests/defaults.pp,3,0.85,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/openstack-haproxy-radosgw.pp,3,0.5,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/pmlc_neutron/manifests/server/config.pp,1,1.0,1,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/manifests/server.pp,3,0.5555555555555556,3,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/engine.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/client/config.pp,1,1.0,1,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/glusterfs.pp,4,0.5,4,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/nginx.pp,4,0.625,4,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/lpreports/manifests/webapp.pp,2,0.6666666666666666,2,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/gerrit/replication.pp,2,0.6666666666666666,2,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/known_host.pp,6,0.16666666666666666,6,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/keystone/auth.pp,2,0.6666666666666666,2,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/roles/manifests/openstack/pmlc_compute.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-haproxy/manifests/init.pp,2,0.6666666666666666,2,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/hosts.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-module-keepalived/manifests/install.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-kafka/manifests/client.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/plugins.pp,4,0.4,4,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/static.pp,2,0.8,2,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/sshd.pp,3,0.4,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/perestroika/builder.pp,3,0.3333333333333333,3,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/landing_page/manifests/init.pp,4,0.7142857142857143,4,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/profiles/manifests/common/sudo.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/jenkins/master.pp,7,0.25,7,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/client.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/tpi/lab.pp,5,0.3333333333333333,5,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/system/manifests/init.pp,3,0.5,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-foreman_proxy/manifests/plugin/chef/params.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/roles/manifests/ftp/server.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/pmlc_nova/manifests/compute/service.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/django/manifests/application.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/racks/manifests/importer.pp,3,0.7142857142857143,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/partnerappliance.pp,3,0.5,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/monitoring/mysql/server.pp,1,1.0,1,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/profiles/manifests/ssh/server.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/radosgw-keystone.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/roles/manifests/deploy.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/firewall.pp,1,1.0,1,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/ns.pp,4,0.5555555555555556,4,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/mirror_npm.pp,3,0.3333333333333333,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/ssl_keys_saving.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/swift/storage-node.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/mirror_rubygems.pp,3,0.3333333333333333,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/params.pp,3,0.7142857142857143,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/server/configline.pp,3,0.3333333333333333,3,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/pxetool/manifests/master.pp,3,0.5,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/common.pp,5,0.5714285714285714,5,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/jenkins/manifests/swarm_slave.pp,4,0.4444444444444444,4,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-concat/manifests/setup.pp,6,0.2727272727272727,6,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/tpi/manifests/vmware_lab.pp,3,0.4,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/partnershare.pp,2,0.75,2,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/ldap.pp,3,0.4,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_stats/manifests/collector.pp,3,0.631578947368421,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/jenkins/manifests/slave.pp,2,0.6666666666666666,2,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/landing_page/manifests/params.pp,4,0.6666666666666666,4,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_stats/manifests/migration.pp,4,0.5714285714285714,4,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/auth_file.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/zabbix/manifests/frontend.pp,3,0.625,3,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/nailgun_demo.pp,4,0.5714285714285714,4,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/server/service.pp,1,1.0,1,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/zabbix/server.pp,4,0.375,4,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/puppet/manifests/params.pp,4,0.3333333333333333,4,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/manifests/site.pp,13,0.3851851851851852,6,7,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/jenkins/slave/custom_scripts.pp,3,0.3333333333333333,3,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/puppet/modules/external_ceph/manifests/conf.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/test_file.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-vxlan-vlan-7/deployment_scripts/configure-ml2-controller.pp,2,0.8888888888888888,2,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/devops_tools/lpupdatebug.pp,3,0.625,3,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/controller.pp,8,0.6666666666666666,3,5,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/puppet/master.pp,5,0.6,5,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/jenkins/manifests/master.pp,8,0.4117647058823529,5,3,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/params.pp,2,0.75,2,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-kafka/manifests/init.pp,2,0.8333333333333334,2,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/roles/manifests/openstack/pmlc_controller.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-kafka/manifests/mirror.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph_override/manifests/ceph/enable_rados.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/banner.pp,2,0.6666666666666666,2,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-concat/spec/fixtures/manifests/site.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/glance.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-etckeeper/deployment_scripts/etckeeper_commit.pp,1,1.0,1,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/mailman.pp,2,0.5,2,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/all.pp,8,0.8,1,7,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/manifests/keystone.pp,2,0.5,2,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/jenkins/manifests/params.pp,4,0.4,4,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/compute.pp,4,0.7647058823529411,4,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/zabbix/manifests/params.pp,4,0.6923076923076923,4,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/params.pp,2,0.6,2,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/volume.pp,2,0.6,2,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/tests/cloudcontroller.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/mirror.pp,5,0.5,5,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_stats/manifests/analytic.pp,3,0.5454545454545454,2,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/keystone.pp,1,1.0,1,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/server/install.pp,2,0.5,2,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/tests/init.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/examples/site.pp,5,0.4375,5,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/blackduck/server.pp,2,0.5,2,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/base.pp,1,1.0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-cinder/manifests/scheduler.pp,2,0.6,2,0,0
