org,file_,contributers,top,major,minor,defect_status
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-cinder/manifests/keystone/authtoken.pp,8,0.38461538461538464,8,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-heat/manifests/keystone/authtoken.pp,6,0.4545454545454545,6,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-vitrage/manifests/keystone/authtoken.pp,5,0.4444444444444444,5,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-octavia/manifests/keystone/authtoken.pp,5,0.5454545454545454,5,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-openstack-cookiecutter/puppet-{{cookiecutter.project_name}}/manifests/keystone/authtoken.pp,7,0.3333333333333333,7,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-congress/manifests/keystone/authtoken.pp,4,0.6,4,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-cinder/manifests/keystone/auth.pp,16,0.3103448275862069,4,12,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-ec2api/manifests/keystone/authtoken.pp,6,0.4545454545454545,6,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-cinder/manifests/volume/netapp.pp,12,0.13333333333333333,12,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-oslo/manifests/messaging/rabbit.pp,8,0.2222222222222222,8,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/cluster/manifests/rabbitmq_ocf.pp,6,0.375,6,0,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/puppet-ceph/manifests/profile/params.pp,15,0.16666666666666666,5,10,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-plugin-contrail/deployment_scripts/puppet/modules/contrail/manifests/init.pp,8,0.5204081632653061,4,4,1
OPENSTACK,/Users/akond/PUPP_REPOS/openstack-downloads/fuel-library/deployment/puppet/openstack/manifests/network/neutron_agents.pp,6,0.5555555555555556,6,0,1
