org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status,contributers,top,major,minor
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/kafka/manifests/defaults.pp,0,0,0,0,0,0,28,0,0,0,78,3,1,2,0.75,2,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/awstats/manifests/init.pp,0,3,2,1,4,7,3,0,0,0,29,4,0,2,0.6666666666666666,2,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/backup/manifests/init.pp,0,5,0,2,2,9,7,0,2,2,38,9,1,4,0.5,4,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/base/manifests/es.pp,0,1,0,0,0,1,1,0,0,0,9,4,0,1,1.0,1,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/base/manifests/mediawiki.pp,0,0,0,1,1,1,0,0,0,0,23,4,0,2,0.6666666666666666,2,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/eximconf/manifests/es.pp,0,0,0,0,0,1,1,0,0,0,9,4,0,3,0.3333333333333333,3,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/fcgiwrap/manifests/init.pp,0,0,1,2,3,6,0,0,0,0,17,4,0,2,0.5,2,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/kitanonl/manifests/init.pp,0,1,1,0,2,3,1,0,0,0,13,4,1,1,1.0,1,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/logrotate/manifests/init.pp,0,1,0,0,0,1,1,0,0,0,9,4,0,2,0.75,2,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/mailmanconf/manifests/init.pp,2,5,0,3,3,27,23,0,0,0,70,5,1,3,0.3333333333333333,3,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/nginx/manifests/sites.pp,0,2,0,0,1,2,2,0,0,0,15,4,1,2,0.8333333333333334,2,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/nginx/manifests/ssl.pp,0,3,0,1,2,5,5,1,0,0,24,4,1,3,0.7142857142857143,3,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/profile/manifests/mwelasticsearch.pp,0,1,1,0,2,11,8,0,0,0,38,4,1,6,0.4444444444444444,6,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/puppet/manifests/init.pp,0,0,0,2,2,3,0,0,0,0,15,4,0,4,0.4,4,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/users/manifests/init.pp,0,1,0,28,28,232,145,0,0,1,283,4,1,7,0.3684210526315789,7,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/wiki/manifests/init.pp,0,4,1,2,3,11,6,0,0,0,51,18,0,3,0.5,3,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/site.pp,0,0,0,0,26,9,9,0,1,1,57,2,1,5,0.6122448979591837,3,2
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/apache/manifests/conf.pp,0,2,0,3,4,16,10,0,2,2,88,38,1,6,0.4666666666666667,6,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/apache/manifests/init.pp,1,4,4,6,13,24,8,0,0,0,88,9,1,7,0.4848484848484849,4,3
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/apache/manifests/mod/wsgi.pp,0,0,1,0,1,1,0,0,0,0,8,2,0,1,1.0,1,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/apache/manifests/site.pp,0,2,0,4,5,18,7,0,1,1,71,34,0,2,0.5,2,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/apparmor/manifests/init.pp,1,2,2,1,4,15,11,1,2,2,43,13,1,3,0.3333333333333333,3,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/apt/manifests/init.pp,0,7,1,1,9,38,28,4,2,2,89,6,1,18,0.32608695652173914,3,15
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/cassandra/manifests/init.pp,0,6,6,3,11,35,19,1,1,1,105,13,1,12,0.3965517241379311,6,6
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/changeprop/manifests/init.pp,2,0,0,0,0,7,5,0,0,0,34,13,1,10,0.2916666666666667,4,6
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/citoid/manifests/init.pp,0,0,0,0,0,7,2,0,0,0,28,12,0,6,0.4117647058823529,6,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/elasticsearch/manifests/init.pp,1,6,4,5,9,23,14,0,2,2,64,5,1,20,0.4382022471910113,3,17
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/eventlogging/manifests/init.pp,0,0,2,0,2,8,2,1,0,0,32,2,0,13,0.3333333333333333,6,7
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/git/manifests/clone.pp,0,1,2,1,5,33,9,3,0,0,122,46,1,12,0.28,4,8
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/git/manifests/gerrit.pp,1,1,1,2,4,12,9,1,1,1,34,4,1,26,0.32857142857142857,4,22
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/git/manifests/install.pp,0,0,1,0,2,18,6,2,0,0,73,37,0,6,0.3636363636363637,6,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/graphoid/manifests/init.pp,1,0,0,0,0,8,1,0,0,0,56,29,0,7,0.35714285714285715,7,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/logstash/manifests/init.pp,0,4,7,5,13,27,7,1,0,0,71,17,1,10,0.24,4,6
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/logstash/manifests/output/elasticsearch.pp,0,0,2,4,6,23,21,2,0,0,76,29,1,7,0.39130434782608703,6,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/mathoid/manifests/init.pp,0,0,0,0,0,9,0,0,0,0,58,31,0,7,0.45,7,0
