org,file_,contributers,top,major,minor,defect_status
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/kafka/manifests/defaults.pp,2,0.75,2,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/nginx/manifests/init.pp,6,0.5333333333333333,6,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/nginx/manifests/site.pp,119,0.10664551383747577,2,117,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/awstats/manifests/init.pp,2,0.6666666666666666,2,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/backup/manifests/init.pp,4,0.5,4,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/base/manifests/es.pp,1,1.0,1,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/eximconf/manifests/es.pp,3,0.3333333333333333,3,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/fcgiwrap/manifests/init.pp,2,0.5,2,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/kitanonl/manifests/init.pp,1,1.0,1,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/logrotate/manifests/init.pp,2,0.75,2,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/mailmanconf/manifests/init.pp,3,0.3333333333333333,3,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/nginx/manifests/sites.pp,2,0.8333333333333334,2,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/nginx/manifests/ssl.pp,3,0.7142857142857143,3,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/profile/manifests/mwelasticsearch.pp,6,0.4444444444444444,6,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/puppet/manifests/init.pp,4,0.4,4,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/users/manifests/init.pp,7,0.3684210526315789,7,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/modules/wiki/manifests/init.pp,3,0.5,3,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/translatewiki/puppet/site.pp,5,0.6122448979591837,3,2,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/apache/manifests/conf.pp,6,0.4666666666666667,6,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/apache/manifests/init.pp,7,0.4848484848484849,4,3,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/apache/manifests/mod/wsgi.pp,1,1.0,1,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/apache/manifests/site.pp,2,0.5,2,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/apparmor/manifests/init.pp,3,0.3333333333333333,3,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/apt/manifests/init.pp,18,0.32608695652173914,3,15,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/cassandra/manifests/init.pp,12,0.3965517241379311,6,6,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/changeprop/manifests/init.pp,10,0.2916666666666667,4,6,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/citoid/manifests/init.pp,6,0.4117647058823529,6,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/elasticsearch/manifests/init.pp,20,0.4382022471910113,3,17,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/eventlogging/manifests/init.pp,13,0.3333333333333333,6,7,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/git/manifests/clone.pp,12,0.28,4,8,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/git/manifests/gerrit.pp,26,0.32857142857142857,4,22,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/git/manifests/install.pp,6,0.3636363636363637,6,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/graphoid/manifests/init.pp,7,0.35714285714285715,7,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/logstash/manifests/init.pp,10,0.24,4,6,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/logstash/manifests/output/elasticsearch.pp,7,0.39130434782608703,6,1,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/mathoid/manifests/init.pp,7,0.45,7,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/mediawiki/manifests/init.pp,13,0.3157894736842105,6,7,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/mediawiki/manifests/mwrepl.pp,2,0.5,2,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/motd/manifests/init.pp,2,0.8,2,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/motd/manifests/script.pp,5,0.2,5,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/mysql/manifests/db.pp,2,0.5,2,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/mysql/manifests/init.pp,2,0.5,2,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/phabricator/manifests/init.pp,12,0.2903225806451613,3,9,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/redis/manifests/init.pp,16,0.26,7,9,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/restbase/manifests/init.pp,14,0.2978723404255319,5,9,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/analytics.pp,1,1.0,1,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/cassandra.pp,4,0.4,4,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/citoid.pp,3,0.5,3,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/eventlogging.pp,3,0.5,3,0,0
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/mathoid.pp,3,0.5,3,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/ores.pp,1,1.0,1,0,1
WIKIMEDIA,/Users/akond/PUPP_REPOS/wikimedia-downloads/vagrant/puppet/modules/role/manifests/sentry.pp,3,0.3333333333333333,3,0,0
