Path,File,contributers,top,major,minor
openstack_puppet-midonet,init.pp,5,0.36363636363636365,3,2
openstack_puppet-midonet,midonet_agent.pp,3,0.3333333333333333,3,0
openstack_puppet-midonet,install.pp,4,0.42105263157894735,4,0
openstack_puppet-midonet,run.pp,5,0.41304347826086957,3,2
openstack_puppet-midonet,midonet_api.pp,4,0.5714285714285714,4,0
openstack_puppet-midonet,augeas.pp,2,0.6666666666666666,2,0
openstack_puppet-midonet,midonet_cli.pp,2,0.6,2,0
openstack_puppet-midonet,neutron_plugin.pp,2,0.7142857142857143,2,0
openstack_puppet-midonet,repository.pp,4,0.4,4,0
openstack_puppet-midonet,centos.pp,6,0.3,6,0
openstack_puppet-midonet,ubuntu.pp,5,0.42857142857142855,5,0
openstack_puppet-midonet,zookeeper.pp,1,1.0,1,0
openstack_puppet-midonet,cassandra.pp,1,1.0,1,0
openstack_puppet-midonet,params.pp,3,0.4444444444444444,3,0
openstack_puppet-midonet,agent.pp,2,0.5625,2,0
openstack_puppet-midonet,cluster.pp,3,0.5217391304347826,3,0
openstack_puppet-midonet,mem.pp,3,0.5,3,0
openstack_puppet-midonet,vhost.pp,3,0.6363636363636364,3,0
openstack_puppet-midonet,static.pp,2,0.5555555555555556,2,0
openstack_puppet-midonet,network_creation.pp,2,0.6,2,0
openstack_puppet-midonet,cli.pp,2,0.6666666666666666,2,0
openstack_puppet-midonet,scrapper.pp,1,1.0,1,0
openstack_puppet-midonet,analytics.pp,3,0.48,3,0
openstack_puppet-midonet,services.pp,3,0.7272727272727273,3,0
openstack_puppet-midonet,quickstart.pp,3,0.5,3,0
openstack_puppet-midonet,interface_up.pp,2,0.6666666666666666,2,0
openstack_puppet-midonet,subscription.pp,1,1.0,1,0
openstack_puppet-rally,config.pp,2,0.5,2,0
openstack_puppet-rally,db.pp,3,0.6666666666666666,3,0
openstack_puppet-rally,mysql.pp,3,0.3333333333333333,3,0
openstack_puppet-rally,postgresql.pp,2,0.5,2,0
openstack_puppet-rally,init.pp,3,0.5,3,0
openstack_puppet-rally,logging.pp,3,0.7142857142857143,3,0
openstack_puppet-rally,params.pp,3,0.5,3,0
openstack_puppet-rally,settings.pp,3,0.625,3,0
openstack_puppet-rally,cinder.pp,2,0.5,2,0
openstack_puppet-rally,ec2.pp,2,0.5,2,0
openstack_puppet-rally,glance.pp,2,0.5,2,0
openstack_puppet-rally,heat.pp,2,0.5,2,0
openstack_puppet-rally,ironic.pp,2,0.5,2,0
openstack_puppet-rally,manila.pp,2,0.5,2,0
openstack_puppet-rally,murano.pp,2,0.5,2,0
openstack_puppet-rally,nova.pp,2,0.5,2,0
openstack_puppet-rally,sahara.pp,2,0.5,2,0
openstack_puppet-rally,swift.pp,2,0.5,2,0
openstack_puppet-rally,sync.pp,3,0.6,3,0
openstack_puppet-rally,rally.pp,1,1.0,1,0
openstack_puppet-rally,tempest.pp,2,0.5,2,0
openstack_puppet-rally,magnum.pp,2,0.5,2,0
openstack_puppet-rally,mistral.pp,2,0.5,2,0
openstack_puppet-rally,monasca.pp,2,0.5,2,0
openstack_puppet-rally,deps.pp,1,1.0,1,0
openstack_puppet-rally,watcher.pp,1,1.0,1,0
openstack_puppet-nova,init.pp,65,0.31555555555555553,2,63
openstack_puppet-nova,repo.pp,1,1.0,1,0
openstack_puppet-nova,all.pp,14,0.6639344262295082,3,11
openstack_puppet-nova,api.pp,52,0.25806451612903225,3,49
openstack_puppet-nova,compute.pp,53,0.26548672566371684,3,50
openstack_puppet-nova,db.pp,13,0.5869565217391305,3,10
openstack_puppet-nova,network.pp,24,0.3968253968253968,2,22
openstack_puppet-nova,objectstore.pp,12,0.4482758620689655,5,7
openstack_puppet-nova,scheduler.pp,16,0.4,6,10
openstack_puppet-nova,openstack-all.pp,1,1.0,1,0
openstack_puppet-nova,openstack-api.pp,1,1.0,1,0
openstack_puppet-nova,openstack-compute.pp,1,1.0,1,0
openstack_puppet-nova,openstack-network.pp,1,1.0,1,0
openstack_puppet-nova,openstack-objectstore.pp,1,1.0,1,0
openstack_puppet-nova,openstack-scheduler.pp,1,1.0,1,0
openstack_puppet-nova,xenserver.pp,10,0.44,3,7
openstack_puppet-nova,messagebus.pp,1,1.0,1,0
